cluster	park	JUST100	pred1	pred2	pred3
1	co1	No	0	0	0
1	co2	No	1	0	1
1	co3	No	1	0	1
1	co4	No	1	0	1
1	co5	No	1	0	1
2	co6	No	0	1	1
2	co7	No	0	1	1
2	co8	No	0	1	1
2	co9	No	0	1	1
2	co10	No	0	1	1
3	co11	No	1	1	1
3	co12	No	1	1	1
3	co13	No	1	1	1
4	co14	No	1	1	1
4	co15	No	1	1	1
4	co16	No	1	0	1
4	co17	No	1	0	1
4	co18	No	0	0	1
4	co19	No	0	0	1
4	co20	Yes	0	0	1
5	co21	Yes	0	0	1
5	co22	Yes	0	1	1
6	co23	Yes	1	1	1
6	co24	Yes	1	1	1
6	co25	Yes	1	1	1
6	co26	Yes	1	1	0
6	co27	Yes	1	1	0
7	co28	Yes	1	1	0
7	co29	Yes	0	1	0
7	co30	Yes	0	1	0
